Title	Body (HTML)	Vendor	Product Category	Tags
"Ukrainian National Drink Kvass ""Kvas Taras"" 1.5l"	"<p>Kvass is a traditional Ukrainian drink made from natural ingredients, such as rye bread and natural yeast. It's a low-alcohol beverage, rich in nutritional value, providing energy and enjoyment. With its unique flavor, Kvass makes any gathering unforgettable.</p>
<p><strong>NOTE! This product is edible, therefore additional restrictions can be applied to its shipping depending on your country's import rules. UkraStore cannot control it and does not bear any responsibility!</strong></p>"	UkraStore		Food
"Ukrainian Kyiv Cake ""Kyivskiy Tort"""	"<p>Experience the rich flavors of Ukrainian Kyiv Cake ""Kyivskiy Tort"" - hand-made in the heart of Ukraine's capital, Khreschatyk, with the finest and freshest ingredients. Taste the delicious combination of layers of sweet pastry and cream - you won't be able to resist!</p>
<p><strong>NOTE! This product is edible, therefore additional restrictions can be applied to its shipping depending on your country's import rules. UkraStore cannot control it and does not bear any responsibility!</strong></p>"	UkraStore	Food, Beverages & Tobacco > Food Items	Food
Ukrainian Emblem Backpack	<p>Show your Ukrainian pride with a remarkable emblem backpack. Handcrafted with attention to detail, each element reflects Ukraine's cultural tapestry. Emblazoned with the iconic emblem, it's a powerful symbol of national pride. An ideal companion for any journey, it combines functionality with a touch of patriotism. Carry your belongings in a backpack that celebrates Ukraine's legacy and join those embracing their heritage. Unleash your Ukrainian spirit with this exceptional emblem backpack.</p>	UkraStore	Luggage & Bags > Backpacks	
"Ukrainian Mineral Water ""Myrhorodska"" 1,5l"	"<p>Myrhorodska mineral water, a true gem of Ukraine, is a testament to the remarkable craftsmanship and dedication that goes into creating an exceptional natural beverage. Unlock the secrets of this remarkable elixir, and let Myrhorodska transport you to a world of authenticity and well-being. Taste the essence of Ukraine with Myrhorodska mineral water and embark on a journey of rejuvenation and vitality like no other.</p>
<p><strong>NOTE! This product is edible, therefore additional restrictions can be applied to its shipping depending on your country's import rules. UkraStore cannot control it and does not bear any responsibility!</strong></p>"	UkraStore	Food, Beverages & Tobacco > Beverages > Water	Food
Ukrainian Traditional Spoon	<p>Discover the enchanting world of Ukrainian craftsmanship with our exquisite painted spoon. Handcrafted with care and adorned with intricate patterns, this authentic piece showcases the rich cultural heritage of Ukraine. Delicately painted by skilled artisans, each stroke tells a story, reflecting the country's vibrant traditions and folklore. The spoon's captivating design not only adds a touch of elegance to your tableware but also serves as a symbol of Ukrainian culture. Embrace the usefulness, beauty, and meaningful patterns of this unique masterpiece, a true testament to the artistry and authenticity of Ukrainian craftsmanship.</p>	UkraStore		Attribute
Ukrainian Embroidered Bracelet	<span>This beautifully embroidered bracelet is a unique and stylish addition to any jewelry collection. The vibrant colors and intricate patterns showcase the beauty of Ukrainian embroidery traditions. Handmade with care and attention to detail, this bracelet is sure to make a statement.</span>	UkraStore		Attribute
Handcrafted Ukrainian Emblem Pendant	<span>This stunning handcrafted pendant features the iconic Ukrainian coat of arms, a symbol of national pride and heritage. Made with high-quality materials and attention to detail, this pendant is a unique and stylish accessory for anyone who wants to show their love for Ukraine. The intricate design and fine craftsmanship make this pendant a true work of art, and a perfect addition to any jewelry collection.</span>	UkraStore		Attribute
Ukrainian Matches(Ukrainski Sirnyky)	<p>Do you want your food to be cooked on the fire of freedom and passion to make your meal unforgettable? Then buy Ukrainian legendary matches to ignite the spark beneath the pan and in your heart! </p>	UkraStore		
Ukrainian Boots(Kozacki Choboty)	<p>The traditional shoes of all brave cossacks who were the bravest warriors in the world for many centuries. The combination of convenience and style is what make choboty exceptional.</p>	UkraStore		
Lesson of Singing Ukrainian Songs with Professional Vocalist 45-minutes	<p>Dive into Ukrainian culture and just spend time in the fun manner by singing Ukrainian songs in personally tailored sessions with professional Ukrainian musician! Get Ukrainian services instantly and receive Ukrainian products from shelves of local markets in your place all over the world!</p>	UkraStore		Attribute
Lesson of Ukrainian with Native Speaker 45-minutes	"<p>Learn the most appealing language in the world from native speaker! No boring unified lessons, you are taught only what you are interested in! Get authentic Ukrainian products from shelves of local markets into your place! </p>
<p> </p>"	UkraStore		Attribute
